"","name","module","disease","padj_CJD","lFC_CJD","padj_FFI","lFC_FFI"
"1114","Chn2",3,"neither",NA,NA,NA,NA
"1140","Cipc",3,"neither",NA,NA,NA,NA
"1153","Clasp2",3,"neither",NA,NA,NA,NA
"1162","Cldn12",3,"neither",NA,NA,NA,NA
"1169","Clint1",3,"neither",NA,NA,NA,NA
"1173","Clip4",3,"neither",NA,NA,NA,NA
"1180","Clock",3,"neither",NA,NA,NA,NA
"1185","Clpx",3,"neither",NA,NA,NA,NA
"1191","Cltc",3,"neither",NA,NA,NA,NA
"1213","Cnksr2",3,"neither",NA,NA,NA,NA
"1229","Cnrip1",3,"neither",NA,NA,NA,NA
"1231","Cntn1",3,"neither",NA,NA,NA,NA
"1234","Cntnap2",3,"neither",NA,NA,NA,NA
"1242","Coch",3,"neither",NA,NA,NA,NA
"1249","Col25a1",3,"neither",NA,NA,NA,NA
"1319","Cpeb2",3,"neither",NA,NA,NA,NA
"1320","Cpeb3",3,"neither",NA,NA,NA,NA
"1321","Cpeb4",3,"neither",NA,NA,NA,NA
"1325","Cpne4",3,"neither",NA,NA,NA,NA
"1340","Cracd",3,"neither",NA,NA,NA,NA
"1343","Crbn",3,"neither",NA,NA,NA,NA
"1346","Crebl2",3,"neither",NA,NA,NA,NA
"1347","Crebrf",3,"neither",NA,NA,NA,NA
"1350","Creg2",3,"neither",NA,NA,NA,NA
"1353","Crem",3,"neither",NA,NA,NA,NA
"1356","Crim1",3,"neither",NA,NA,NA,NA
"1373","Csde1",3,"neither",NA,NA,NA,NA
"1377","Csnk1a1",3,"neither",NA,NA,NA,NA
"1381","Csnk1g3",3,"neither",NA,NA,NA,NA
"1382","Csnk2a1",3,"neither",NA,NA,NA,NA
"1385","Csrnp3",3,"neither",NA,NA,NA,NA
"1392","Cstf2t",3,"neither",NA,NA,NA,NA
"1393","Cstf3",3,"neither",NA,NA,NA,NA
"1397","Ctcf",3,"neither",NA,NA,NA,NA
"1402","Ctnna2",3,"neither",NA,NA,NA,NA
"1426","Cul5",3,"neither",NA,NA,NA,NA
"1438","Cxxc4",3,"neither",NA,NA,NA,NA
"1454","Cyld",3,"neither",NA,NA,NA,NA
"1456","Cyria",3,"neither",NA,NA,NA,NA
"1457","Cyrib",3,"neither",NA,NA,NA,NA
"1472","Daam1",3,"neither",NA,NA,NA,NA
"1483","Dars",3,"neither",NA,NA,NA,NA
"1498","Dcaf12l1",3,"neither",NA,NA,NA,NA
"1506","Dck",3,"neither",NA,NA,NA,NA
"1507","Dclk1",3,"neither",NA,NA,NA,NA
"1509","Dcp2",3,"neither",NA,NA,NA,NA
"1513","Dctn4",3,"neither",NA,NA,NA,NA
"1518","Dcun1d2",3,"neither",NA,NA,NA,NA
"1542","Ddx3x",3,"neither",NA,NA,NA,NA
"1548","Ddx5",3,"neither",NA,NA,NA,NA
"1549","Ddx50",3,"neither",NA,NA,NA,NA
"1551","Ddx6",3,"neither",NA,NA,NA,NA
"1555","Degs1",3,"neither",NA,NA,NA,NA
"1560","Dennd11",3,"neither",NA,NA,NA,NA
"1565","Dennd5b",3,"neither",NA,NA,NA,NA
"1578","Dgkb",3,"neither",NA,NA,NA,NA
"1580","Dgke",3,"neither",NA,NA,NA,NA
"1592","Dhx15",3,"neither",NA,NA,NA,NA
"1596","Dhx36",3,"neither",NA,NA,NA,NA
"1602","Dip2c",3,"neither",NA,NA,NA,NA
"1603","Dipk1a",3,"neither",NA,NA,NA,NA
"1615","Dld",3,"neither",NA,NA,NA,NA
"1618","Dlg2",3,"neither",NA,NA,NA,NA
"1634","Dmac2l",3,"neither",NA,NA,NA,NA
"1640","Dmxl2",3,"neither",NA,NA,NA,NA
"1649","Dnajb6",3,"neither",NA,NA,NA,NA
"1662","Dnajc3",3,"neither",NA,NA,NA,NA
"1665","Dnajc6",3,"neither",NA,NA,NA,NA
"1669","Dnal1",3,"neither",NA,NA,NA,NA
"1673","Dnm1l",3,"neither",NA,NA,NA,NA
"1675","Dnm3",3,"neither",NA,NA,NA,NA
"1683","Dock4",3,"FFI",NA,NA,0.0464985517839088,-0.331466600944548
"1698","Dpp10",3,"neither",NA,NA,NA,NA
"1705","Dpysl2",3,"neither",NA,NA,NA,NA
"1738","Dusp3",3,"neither",NA,NA,NA,NA
"1744","Dvl3",3,"neither",NA,NA,NA,NA
"1749","Dync1i2",3,"neither",NA,NA,NA,NA
"1751","Dync1li2",3,"neither",NA,NA,NA,NA
"1758","Dyrk1a",3,"neither",NA,NA,NA,NA
"1759","Dzank1",3,"neither",NA,NA,NA,NA
"1761","Dzip3",3,"neither",NA,NA,NA,NA
"1778","Edem3",3,"neither",NA,NA,NA,NA
"1800","Efna5",3,"neither",NA,NA,NA,NA
"1801","Efnb2",3,"neither",NA,NA,NA,NA
"1803","Efr3a",3,"neither",NA,NA,NA,NA
"1810","Egr3",3,"neither",NA,NA,NA,NA
"1812","Ehbp1",3,"neither",NA,NA,NA,NA
"1820","Eid2b",3,"neither",NA,NA,NA,NA
"1826","Eif2a",3,"neither",NA,NA,NA,NA
"1832","Eif2s1",3,"neither",NA,NA,NA,NA
"1834","Eif2s3x",3,"neither",NA,NA,NA,NA
"1848","Eif4a2",3,"neither",NA,NA,NA,NA
"1850","Eif4b",3,"neither",NA,NA,NA,NA
"1858","Eif5",3,"neither",NA,NA,NA,NA
"1865","Elapor2",3,"neither",NA,NA,NA,NA
"1866","Elavl2",3,"neither",NA,NA,NA,NA
"1873","Elmo1",3,"neither",NA,NA,NA,NA
"1879","Elovl4",3,"neither",NA,NA,NA,NA
"1881","Elovl6",3,"neither",NA,NA,NA,NA
"1882","Elp1",3,"neither",NA,NA,NA,NA
"1893","Emc7",3,"neither",NA,NA,NA,NA
"1902","Enah",3,"neither",NA,NA,NA,NA
"1904","Endod1",3,"neither",NA,NA,NA,NA
"1912","Enpp5",3,"neither",NA,NA,NA,NA
"1923","Epb41l3",3,"neither",NA,NA,NA,NA
"1926","Epdr1",3,"neither",NA,NA,NA,NA
"1928","Epha4",3,"neither",NA,NA,NA,NA
"1929","Epha5",3,"neither",NA,NA,NA,NA
"1934","Epm2a",3,"neither",NA,NA,NA,NA
"1935","Epm2aip1",3,"neither",NA,NA,NA,NA
"1939","Eps15",3,"neither",NA,NA,NA,NA
"1941","Erbin",3,"neither",NA,NA,NA,NA
"1960","Esrrg",3,"neither",NA,NA,NA,NA
"1962","Esyt2",3,"neither",NA,NA,NA,NA
"1963","Etf1",3,"neither",NA,NA,NA,NA
"1968","Etl4",3,"neither",NA,NA,NA,NA
"1969","Etnk1",3,"neither",NA,NA,NA,NA
"1973","Evi5",3,"neither",NA,NA,NA,NA
"1979","Exoc2",3,"neither",NA,NA,NA,NA
"1982","Exoc5",3,"neither",NA,NA,NA,NA
"1994","Extl2",3,"neither",NA,NA,NA,NA
"2015","Fam117b",3,"neither",NA,NA,NA,NA
"2016","Fam120a",3,"neither",NA,NA,NA,NA
"2023","Fam135a",3,"neither",NA,NA,NA,NA
"2025","Fam13c",3,"neither",NA,NA,NA,NA
"2027","Fam155a",3,"neither",NA,NA,NA,NA
"2034","Fam169a",3,"neither",NA,NA,NA,NA
"2048","Fam217b",3,"neither",NA,NA,NA,NA
"2053","Fam3c",3,"neither",NA,NA,NA,NA
"2063","Fam98b",3,"neither",NA,NA,NA,NA
"2066","Far1",3,"neither",NA,NA,NA,NA
"2075","Fat3",3,"neither",NA,NA,NA,NA
"2087","Fbxl4",3,"neither",NA,NA,NA,NA
"2091","Fbxo11",3,"neither",NA,NA,NA,NA
"2096","Fbxo3",3,"neither",NA,NA,NA,NA
"2098","Fbxo33",3,"neither",NA,NA,NA,NA
"2106","Fbxo8",3,"neither",NA,NA,NA,NA
"2108","Fbxw11",3,"neither",NA,NA,NA,NA
"2115","Fchsd2",3,"neither",NA,NA,NA,NA
"2122","Fem1b",3,"neither",NA,NA,NA,NA
"2128","Fgf12",3,"neither",NA,NA,NA,NA
"2129","Fgf13",3,"neither",NA,NA,NA,NA
"2130","Fgf14",3,"neither",NA,NA,NA,NA
"2137","Fhl1",3,"neither",NA,NA,NA,NA
"2152","Fktn",3,"neither",NA,NA,NA,NA
"2159","Flrt2",3,"neither",NA,NA,NA,NA
"2160","Flrt3",3,"neither",NA,NA,NA,NA
"2171","Fnbp1l",3,"neither",NA,NA,NA,NA
"2174","Fndc3a",3,"neither",NA,NA,NA,NA
"2182","Foxj3",3,"neither",NA,NA,NA,NA
"2189","Fpgt",3,"neither",NA,NA,NA,NA
"2194","Frmpd4",3,"neither",NA,NA,NA,NA
"2195","Frrs1l",3,"neither",NA,NA,NA,NA
"2202","Fstl5",3,"neither",NA,NA,NA,NA
"2216","Fxr1",3,"neither",NA,NA,NA,NA
"2226","G3bp2",3,"neither",NA,NA,NA,NA
"2233","Gabbr1",3,"neither",NA,NA,NA,NA
"2235","Gabra1",3,"neither",NA,NA,NA,NA
"2236","Gabra2",3,"neither",NA,NA,NA,NA
"2237","Gabra3",3,"neither",NA,NA,NA,NA
"2240","Gabrb1",3,"neither",NA,NA,NA,NA
"2241","Gabrb2",3,"FFI",NA,NA,0.00107371285973124,-0.581669561120763
"2246","Gad1",3,"neither",NA,NA,NA,NA
"2247","Gad2",3,"neither",NA,NA,NA,NA
