name,module,lfc_FFI,fdr_FFI,lfc_CJD,fdr_CJD,disease,degree,betweenness
2310022B05Rik,6,0.32624098114372,0.0599060502832866,0.145041621557871,0.404662600420667,neither,NA,NA
2310061I04Rik,1,0.0322286993163072,0.894660006687289,0.0401670641403322,0.852261455876408,neither,NA,NA
2410002F23Rik,1,-0.0298483387214316,0.893026662236446,0.042131555069178,0.849714366438224,neither,NA,NA
2410004B18Rik,4,0.183928457485405,0.324924545987091,0.01371659945063,0.958447088256433,neither,NA,NA
2510002D24Rik,5,0.0136791535051176,0.959742575265939,0.0507955353624715,0.798276916237646,neither,NA,NA
2510009E07Rik,4,0.0699626540208285,0.765124314287732,-0.0133080491559936,0.956483680439141,neither,NA,NA
2610001J05Rik,4,0.207850825213483,0.218805858108434,0.0833074876029149,0.667096267144302,neither,NA,NA
2610002M06Rik,3,0.0108847955398007,0.967104245632026,-0.0328863984826278,0.860067813751793,neither,NA,NA
2610301B20Rik,4,0.109677963306426,0.595607191893168,-0.00373649388558563,0.987724780425495,neither,NA,NA
2610507B11Rik,1,-0.0834687014265953,0.685738993628838,0.0281607965393793,0.903219880740835,neither,NA,NA
3110040N11Rik,6,0.138978227285556,0.493998409353292,0.0432057963564756,0.815310902763242,neither,NA,NA
3830406C13Rik,3,0.0804569100222517,0.71369771825859,-0.0323894914688395,0.885677258453783,neither,NA,NA
4833439L19Rik,6,0.382222196917632,0.0045933753768109,0.110895583286962,0.556341966228572,FFI,NA,NA
4930402H24Rik,1,-0.13871606959035299,0.462521358740381,-0.0603175792880269,0.765053354766193,neither,NA,NA
4930453N24Rik,4,0.119214031878134,0.57049073407146,-0.029872022062942,0.852056993581413,neither,NA,NA
4932438A13Rik,1,-0.384077816175312,0.0151676209534848,-0.138551856306002,0.434567599465018,FFI,NA,NA
4933427D14Rik,1,-0.282161668782974,0.113045234392773,-0.0982358768902935,0.426718529304088,neither,NA,NA
4933434E20Rik,4,0.282626405343564,0.0625101115039195,0.067906081193291,0.731902250093011,neither,NA,NA
5031439G07Rik,6,0.0608632722225808,0.789353795207197,0.091578687719015,0.64613857619975,neither,NA,NA
5730409E04Rik,1,-0.0386212482332519,0.866481952944982,0.0119431071266628,0.964874651113564,neither,NA,NA
5730455P16Rik,3,-0.0612756468414979,0.790063959020952,-0.049870031209259,0.791962778860468,neither,NA,NA
6030458C11Rik,1,-0.230695404107986,0.189247745843431,-0.033487094842958,0.885645695193013,neither,NA,NA
6330403K07Rik,4,0.134875355531419,0.479534334653205,0.0805654816968219,0.687903797660843,neither,NA,NA
6430548M08Rik,1,-0.191421136699808,0.178544316324009,-0.0257585297012213,0.915284958496481,neither,NA,NA
9030025P20Rik,5,0.0234675306177856,0.929449101954337,0.0786407724058758,0.621512577659639,neither,NA,NA
9130401M01Rik,1,0.0526114772021042,0.832532637867296,0.0521570960788985,0.793208072951903,neither,NA,NA
9330159F19Rik,3,-0.0708764339180632,0.759136072600873,-0.0866742599493625,0.659378633151433,neither,NA,NA
9530068E07Rik,4,0.240063531111529,0.120225656073532,0.094833468926594,0.614640555576966,neither,NA,NA
9930021J03Rik,3,-0.0836936873062907,0.703534637883479,-0.0815466566148452,0.640968105339444,neither,NA,NA
9930104L06Rik,1,-0.309768983650178,0.0589282519491139,-0.0143158031539188,0.948181843633952,neither,NA,NA
A2ml1,6,0.0647296724575392,0.783312624108191,0.00132779636933826,0.995871038758473,neither,NA,NA
A830018L16Rik,3,-0.0462692317750174,0.852776097518261,-0.0151628473491799,0.907699646456068,neither,NA,NA
A930011G23Rik,1,-0.117089962226478,0.532033764123094,0.075523481452005,0.703617579217403,neither,NA,NA
Aaas,1,-0.328701596023579,0.0589282519491139,-0.0389665232341978,0.830199267640953,neither,NA,NA
Aagab,1,-0.115571018332462,0.566247849925991,-0.0859875929340315,0.668046851547413,neither,NA,NA
Aak1,3,-0.254448867691716,0.0935493934976717,-0.140162672420979,0.425926665380933,neither,NA,NA
Aamdc,2,0.203128534666513,0.26222235566379,0.0819284864045195,0.678305095863489,neither,NA,NA
Aamp,1,0.0248519028720411,0.922608688642358,0.0334036428725805,0.88352867829608,neither,NA,NA
Aar2,1,-0.10452425117524,0.577453716859752,-0.00351353710194788,0.989893823243649,neither,NA,NA
Aars,1,-0.232202348379192,0.16111499142317,-0.154218145233403,0.372842091875839,neither,NA,NA
Aars2,1,-0.200805093262776,0.281879505036116,-0.0367240817037032,0.861023462179657,neither,NA,NA
Aarsd1,2,0.0292583788341087,0.909069176733256,0.0040511701075337,0.987992780049716,neither,NA,NA
Aasdhppt,4,-0.00468417592532564,0.985294042123563,-0.0451481810437007,0.755924298801976,neither,NA,NA
Aatk,1,-0.17945652053159,0.311782177987456,-0.0360330021797341,0.876976262532563,neither,NA,NA
Abat,1,-0.178846500726798,0.186849340818537,-0.134857892781358,0.404662600420667,neither,NA,NA
Abca2,1,-0.019269101581,0.938812364867656,0.0634597188702159,0.749855639270957,neither,NA,NA
Abca3,1,-0.104299748613172,0.62275891414219,-0.0275495980190256,0.905715567191216,neither,NA,NA
Abca5,3,-0.0965754218654075,0.655877202224889,-0.0718490096645191,0.671589461138039,neither,945,NA
Abca8a,1,0.042761202503392,0.840048535195657,0.0296639264487025,0.875894060872785,neither,NA,NA
Abcb6,2,0.080465513028256,0.705909265862022,0.052233225058028,0.714504180407129,neither,NA,NA
Abcb7,3,0.0120758095094852,0.96138534909141,-0.0342977719448452,0.837772808552367,neither,NA,NA
Abcb8,2,0.0744353808663935,0.74797720291005,0.075636288310569,0.689171321890613,neither,NA,NA
Abcb9,1,0.0310391735156675,0.904879450841283,0.0315432409464793,0.886911735854474,neither,NA,NA
Abcc5,1,-0.0534681022431835,0.829855628480547,0.0730023040976345,0.707226015032884,neither,NA,NA
Abcc8,1,-0.0754894820835625,0.74388385348891,0.00795865737354256,0.973364886850838,neither,NA,NA
Abcd2,3,-0.131602578500679,0.518331258131622,-0.0860825177044139,0.638600351779582,neither,NA,NA
Abcd3,3,0.0513177203656132,0.815108156474425,-0.0108634494467149,0.968066900387018,neither,NA,NA
Abce1,3,-0.0415836688296228,0.870401867724974,-0.0501845056947516,0.809911158244604,neither,NA,NA
Abcf1,1,-0.0759473571341257,0.739285361748276,-0.0592984803056879,0.759863850744687,neither,NA,NA
Abcf2,1,-0.190979815769612,0.254287442306252,-0.0618312367168835,0.759059172294701,neither,576,NA
Abcf3,1,0.024736632194597,0.924214479711047,0.0354345565094054,0.861462671815493,neither,NA,NA
Abcg1,1,-0.180544662013935,0.243315273648441,-0.0980120546633684,0.591101122643161,neither,NA,NA
Abcg4,1,-0.1572250330158,0.396832658653303,-0.0763990168456347,0.702669555097647,neither,570,NA
Abhd11,2,0.0976577921511679,0.637575513095176,0.0397575701712096,0.854489955478733,neither,NA,NA
Abhd12,6,0.209893288788343,0.22610152963744,0.128265655341872,0.477010325456529,neither,NA,NA
Abhd13,4,-0.0139939803710985,0.957570163996612,-0.0454498007041755,0.785808317568749,neither,NA,NA
Abhd16a,1,-0.0600839470024527,0.790215141914579,0.00385330781180143,0.988646864265742,neither,NA,NA
Abhd17a,2,0.127014941605513,0.53142829001475,0.0866083844306032,0.646782558931297,neither,NA,NA
Abhd17b,4,-0.0176528476016883,0.940325918366755,-0.0412724641360178,0.777584108420552,neither,NA,NA
Abhd17c,4,0.20544244510169,0.258733465575733,0.00483983741713259,0.986108462497774,neither,NA,NA
Abhd3,6,0.211911273187062,0.213751763707793,0.0318535787892723,0.886118721188989,neither,NA,NA
Abhd4,6,0.450048331721369,0.002883492716767,0.314499164566159,0.0451085301141762,both,NA,NA
Abhd5,2,0.418877971343893,0.0165693797406549,0.366989565940002,0.0318260039489725,both,NA,NA
Abhd6,1,0.0380981962943708,0.868853455809068,-0.0518067215999298,0.808894790745321,neither,NA,NA
Abhd8,1,0.060576640543261,0.797115993002733,0.00856035176804958,0.973364886850838,neither,NA,NA
Abi1,1,0.122755098182302,0.520368330269417,0.0525903712524855,0.794641983736357,neither,NA,NA
Abi2,4,-0.00315134409514798,0.989665950695534,-0.0302424428501405,0.877991675920426,neither,NA,NA
Ablim2,2,0.103852837389903,0.632547654649996,0.0849614972621455,0.659770543448781,neither,NA,NA
Abr,1,-0.158333875155958,0.333286382679212,-0.0144027885725809,0.955653497082027,neither,602,NA
Abtb1,1,0.00444149646509083,0.986998282052573,0.050291928976307,0.799415438579925,neither,NA,NA
Acaa1a,2,0.111610443193159,0.573634444934306,0.0326708082686645,0.889277217416854,neither,NA,NA
Acaa2,2,0.117566190254371,0.539127285940528,0.0281057960060151,0.903219880740835,neither,NA,NA
Acaca,1,-0.279191217722081,0.100932463141459,-0.108549641840994,0.569997540061643,neither,NA,NA
Acad8,1,0.0431730282434046,0.866585442786378,0.0197886779583698,0.933383451134425,neither,NA,NA
Acad9,1,-0.046792305552279,0.852776097518261,0.0229320303257453,0.916690311962717,neither,NA,NA
Acadl,6,0.049629883242978,0.83371670519452,-0.00796632478192313,0.975812363295386,neither,NA,NA
Acadm,1,-0.419209024255149,0.00546898755861041,-0.202313869338302,0.223456391261923,FFI,NA,NA
Acadsb,1,-0.259954335428875,0.0737530747444992,-0.109988073202214,0.56294745098991,neither,NA,NA
Acadvl,1,0.0222783062118052,0.931773543392231,0.0661538818295992,0.721829946079868,neither,NA,NA
